,artist,name,pop,genres,followers
608,29TpNOsTNYbLb6Xa10H0PR,Miss Monique,44,ukrainian electronic,101314
609,2gYXdg9llcn74PRHTjWSuF,Ruby Goe,22,,296
610,0VvXXDLfETyEkvsYmjXP54,Hollywood Holt,19,,476
611,0xGgZ1qD3iCb4bIHGwlMt0,Tortuga,10,jamtronica,773
612,1doQgXssRfKnLx70adszbK,Recondite,40,"ambient techno,deep techno,electronica,microhouse,minimal techno",117113
613,50Lr1puweM1hFsF1LpIZLM,WhoMadeWho,55,"alternative dance,dance-punk,danish indie,electronica,experimental pop,microhouse,new rave",169855
614,1eyg9AJYXvQaXtHyi77WCK,Boogrov,28,"russian alt pop,vapor twitch",4936
615,3MK71khOrqZwGpyfYzwKXR,Jones Meadow,52,chill beats,6915
616,0bcsH2FSusCuTAZ8aAgbJV,They Dream By Day,41,"atmosphere,background music,focus",9341
617,2RZbJDQz3gwJppZzfbuxTx,Sailor & I,43,swedish electronic,14097
618,6PzFRXjgGHQw6K4WeERMK1,Magic Sword,43,synthwave,116064
619,4N55TE3vFODMR4BX5B9fnM,Waveshaper,44,"chillsynth,spacewave,synthwave",71018
620,37VopouYOyLqeH34jEZ7W9,Laroz,30,,3533
621,6D36JCiONtO40ykvT5RBec,Goom Gum,39,melodic techno,10024
622,7HBMCyflAmijk08T1si9wS,Tantrum Desire,40,"drum and bass,jump up",38986
623,0PyV4VBxPsxRmInWJWxqkm,Marianna Ray,32,,233
624,2e7yDxnK4osy7nKhnqrOFM,Anacondaz,45,"russian hip hop,russian rock",361701
625,3WTWOrIS77vY3hkCFqTyIw,Howling,48,electronica,71875
626,2KjAo6wVc9d2WcxdxSArpV,RY X,62,indie folk,426231
627,1gbnoyNZEf6K9HytIv1D94,Frank Wiedemann,48,,15111
628,5cXvKyVVO0jPuPiaZ42NWw,Розенбом Jr.,0,,21
629,0bIvvfPnM3YeHeORD57sAE,Westbam/ML,38,"bubble trance,german techno",48486
630,4BM5DDwkkR9YpmntxHvNwQ,Pavane,1,,118
631,1rPfndZC65h8lRzqVjYRkR,Ondamike,0,,26
632,2rWRAcS0XBZiUcW6iWTZZj,Allmoe,0,,13
633,1f6TTocyaqNFvwD4xsrDTh,Drumsound & Bassline Smith,40,"bassline,drum and bass,jump up,jungle,neurofunk",61542
634,0k3dnuEr9LghUE4jxS0PT4,Fred V,47,"drum and bass,liquid funk",31777
635,2N8IPNZTiNo3nj4mreOlHU,Camo & Krooked,52,"austrian dnb,dancefloor dnb,drum and bass,jump up,liquid funk",201249
636,0Wt3JtBlYUVp8BnMsJK9gM,Tiarum,1,,6
637,1Q03S0dflAaDkxOe2ve3PG,Xenturion Prime,21,"dark electro,swedish synth",1863
638,130HeDomFIHyXptbtyIvsY,СiРОП,2,belarusian hip hop,194
639,48nHO1cuTbpx4ELhChsxX1,Sidewalks and Skeletons,51,"wave,witch house",134806
640,08jywfUS0hp8XYlYs0cvz8,Rampa,53,"deep disco house,microhouse,organic house",71442
641,2pqd3HsfsvcBGtHvPOg6eg,Highly Suspect,59,"modern alternative rock,modern rock,post-grunge,rock",521429
642,3Euk7oBiNSGOnpUIjLzt9z,Sensi Affect,34,"drift phonk,russian witch house,wave,witch house",7707
643,2Npo4Cfm48M2uKlvxiXMic,Oliver Smith,42,"edm,pop dance,progressive house,progressive trance,trance,uplifting trance",42123
644,1Jz6RRji0V9bQAB5kSA3xq,Amy J Pryce,35,,531
645,2XALBCYw0tn7Za6GUOqgKZ,Meramek,25,,3214
646,7wh3oeTOkTNXYtJHnoBeQh,Sonic Elysium,5,,999
647,3PRKQmdOhulKAS8mWWIQfj,MC Fava,26,,1017
648,3ac1UBV3aHTPZ94T0PhfvS,Seba,37,"atmospheric dnb,deep liquid bass,drum and bass,drumfunk,liquid funk",29735
649,082l23rVBoFn146VLjg3Ms,Emily Harkness,21,,105
650,5meD8C7oGK5yUEY2T7ZZ7W,Max Korzh,59,"belarusian hip hop,russian hip hop",3402747
651,47jBQjRmURjRn3XfLIaHvV,Pornofilmy,49,"russian alt pop,russian pop punk,russian punk,russian punk rock,russian rock",939178
652,1v5bOzXbhrQ57qSvRwGA6s,The Irrepressibles,54,baroque pop,104922
653,0Yu5YuYCSh2CwfTR8Dcour,NEKIY NIKO,7,,350
654,6gG3uH7LD2t2cjUoIwG9JN,защита животных,0,,1
655,1eucLGnPT27tdEh6MU29wp,Marsh,48,progressive house,36316
656,394LXNm2rl716xNJpnZBb0,Katherine Amy,23,,286
657,1jD9rZnKHp1tqnYMxSxkiQ,Hausman,32,"progressive house,progressive trance",2361
658,5SD3UXASMH77lwNBo2lqj6,Wynnwood,18,,320
659,7iCW4xyVOIklzZ2qc7pS5h,Romain Garcia,43,,1862
660,1uhl1XFRNVY8fkPg0tDRMh,Linius,40,"g-house,lithuanian edm",6855
661,5INSKpcDpSbntKDXkJmoff,Kordas,41,lithuanian hip hop,1690
662,6zvul52xwTWzilBZl6BUbT,Pixies,68,"alternative rock,boston rock,modern rock,permanent wave,rock",2253107
663,5MraexJKZDrQYzS98kNwie,Sevdaliza,50,"alternative r&b,art pop,electropop,escape room,persian electronic",362271
664,2gct3VkeQT2IuGNFNJVj1J,Fran,40,,2026
665,20X39VOcF5zEpkOx6WrXlY,Total Science,32,"drum and bass,drumfunk,jump up,jungle,liquid funk,neurofunk,uk dnb",23132
666,7FtCGMC0pcHPlrZWmYe9XM,Break,40,"drum and bass,drumfunk,jump up,jungle,liquid funk,neurofunk,uk dnb",31917
667,0QTO0QZDjoyXxRtIgAU4GY,Cream Soda,41,"russian alt pop,russian electronic",354157
668,07tFgedhta5b5WaF0Yj4bH,SALUKI,47,"russian hip hop,russian trap",284201
669,6v709YcVpmYcSAwdynuGLY,Nick Rouze,21,,318
670,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,92,"canadian contemporary r&b,canadian pop,pop",48046020
671,6XrEYPg6rrQMV4GKabTxbE,breathe.,41,"australian alternative pop,vapor soul",22198
672,4XCU9tk7hogxz1SRTvVXLJ,Glowal,35,italian techno,9543
673,40Ojab0UtVQFjA76qXr8Ot,Apparat,48,"ambient pop,electronica,glitch,microhouse,minimal techno",370643
674,1kR99O4MgSTasyeJh8UFCg,DJ Koze,52,"deep house,electronica,float house,german techno,hamburg electronic,microhouse,minimal techno,tech house",202373
675,3lc4xDLsQnWnjhntJfykpF,Lyke,39,,3524
676,5uWf1mtOs32yQNfD0VcwZy,maslo chernogo tmina,46,"central asian hip hop,russian hip hop,russian underground rap",297171
677,0i0rwrrIFDx2i2bI23GwVG,Subcarpaţi,40,"romanian rap,romanian rock",93459
678,2msZitCY0kf2L25AZFpEt6,Madalina Paval,23,,238
679,6UcJxoeHWWWyT5HZP064om,Chet Faker,61,"art pop,indietronica",287732
680,6l5dAUNRhHnRSPPmRJSKQr,Marcus Marr,41,uk alternative pop,40074
681,0f5EJHjvS8LiVLYYZwKa80,Kyrill & Redford,33,,6092
682,0etlm5If3xm7D7oPGEVNmB,David Read,6,,61
683,02fumhUvM9Qh0cE0oGnXgi,Dragon Suplex,9,,532
684,6q3W9kTktti93nDItAx8XH,AYAWAKE,23,,362
685,0T31EXu7rPEtnCJYY15GKo,M()RE,30,"russian edm,russian electronic,russian witch house,witch house",9394
686,1ZJlXFkFDBsjSuYyjVcMkk,Chali 2na,48,"alternative hip hop,chicago rap,turntablism",60479
687,6Ebt7JHILWJCE7aR7JLFB2,Krafty Kuts,36,"big beat,breakbeat,nu skool breaks",39421
688,3sAGUwsdMRzAcFrdqgsROF,Bdice,25,bc underground hip hop,2831
689,6kqN8RoL2VpRM8EgGwHiHG,Def3,31,canadian hip hop,3842
690,0RZuAvECZuiK1PZ5HMIvcv,Spencer Tarring,10,,994
691,6abMSOfq8xfhJXV9WRblCd,MC Creed,21,,455
692,3PvqCbhNlq96JXxPszCMZT,Kidnap,53,"future garage,tropical house,vapor soul",64576
693,2ioOAZync1kfPiuy5DhKOu,Anton Kuertz,19,,838
694,3oKRxpszQKUjjaHz388fVA,Parcels,63,"aussietronica,indie soul",576135
695,5muFO8VqYRCRW13EkvX564,Âme,46,"german house,german techno,microhouse,minimal tech house,minimal techno,tech house",111959
