,index,track_id,name,artists_names,artists_ids,artists_count,popularity,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
837,824,6jCGzZn0gFeRlbqdaJhw6T,Party and Bullshit - 2008 Remaster,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,1,68,3.6166666666666667,0.433,0.862,1,-3.89,0,0.412,0.193,0.0,0.604,0.722,200.817,audio_features,6jCGzZn0gFeRlbqdaJhw6T,spotify:track:6jCGzZn0gFeRlbqdaJhw6T,https://api.spotify.com/v1/tracks/6jCGzZn0gFeRlbqdaJhw6T,https://api.spotify.com/v1/audio-analysis/6jCGzZn0gFeRlbqdaJhw6T,217000,4
838,825,5bYrtRNHX6twrOxKBLtRdV,Phatty - Original Mix,Anton Kuertz,2ioOAZync1kfPiuy5DhKOu,1,36,8.050366666666667,0.846,0.468,7,-8.179,1,0.0562,0.00916,0.322,0.121,0.517,120.025,audio_features,5bYrtRNHX6twrOxKBLtRdV,spotify:track:5bYrtRNHX6twrOxKBLtRdV,https://api.spotify.com/v1/tracks/5bYrtRNHX6twrOxKBLtRdV,https://api.spotify.com/v1/audio-analysis/5bYrtRNHX6twrOxKBLtRdV,483022,4
839,826,6OufwUcCqo81guU2jAlDVP,Love Tonight - Edit,Shouse,2TcGJdSOiOvITBzhvfX8XB,1,80,4.0328333333333335,0.727,0.681,5,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,audio_features,6OufwUcCqo81guU2jAlDVP,spotify:track:6OufwUcCqo81guU2jAlDVP,https://api.spotify.com/v1/tracks/6OufwUcCqo81guU2jAlDVP,https://api.spotify.com/v1/audio-analysis/6OufwUcCqo81guU2jAlDVP,241970,4
840,827,6w8ekmqQOBNfk3m2GddOWS,Worship,Unworldly,0CVD1jYtPtW8sbOnPFxw0R,1,39,4.075466666666666,0.634,0.65,6,-6.945,0,0.0318,0.00408,0.656,0.0721,0.0329,110.02,audio_features,6w8ekmqQOBNfk3m2GddOWS,spotify:track:6w8ekmqQOBNfk3m2GddOWS,https://api.spotify.com/v1/tracks/6w8ekmqQOBNfk3m2GddOWS,https://api.spotify.com/v1/audio-analysis/6w8ekmqQOBNfk3m2GddOWS,244528,4
841,828,6ghQpDsyDCPcX5V4sP786N,Фотка,Kasta,5I37oVgAnT7OGiqKJSMVRH,1,19,2.5698666666666665,0.614,0.669,7,-5.564,1,0.391,0.496,0.0,0.29,0.556,125.668,audio_features,6ghQpDsyDCPcX5V4sP786N,spotify:track:6ghQpDsyDCPcX5V4sP786N,https://api.spotify.com/v1/tracks/6ghQpDsyDCPcX5V4sP786N,https://api.spotify.com/v1/audio-analysis/6ghQpDsyDCPcX5V4sP786N,154192,5
842,829,2qruaZqcJug9ouz1iuZTfN,In The Beginning - 2016 Version,Bassnectar,1JPy5PsJtkhftfdr6saN2i,1,21,3.5714166666666665,0.698,0.898,11,-5.705,1,0.503,0.12,0.151,0.326,0.443,140.01,audio_features,2qruaZqcJug9ouz1iuZTfN,spotify:track:2qruaZqcJug9ouz1iuZTfN,https://api.spotify.com/v1/tracks/2qruaZqcJug9ouz1iuZTfN,https://api.spotify.com/v1/audio-analysis/2qruaZqcJug9ouz1iuZTfN,214286,4
843,830,3hPL9Jr1RZhDzyHzxF7MU8,Meanwhile in Rio,NTO,7ry8L53T4oJtSIogGYuioq,1,41,4.736,0.892,0.334,0,-14.1,0,0.0789,0.393,0.726,0.092,0.336,125.026,audio_features,3hPL9Jr1RZhDzyHzxF7MU8,spotify:track:3hPL9Jr1RZhDzyHzxF7MU8,https://api.spotify.com/v1/tracks/3hPL9Jr1RZhDzyHzxF7MU8,https://api.spotify.com/v1/audio-analysis/3hPL9Jr1RZhDzyHzxF7MU8,284160,4
844,831,1DcBU8x5d7BrCIcgTfIRzk,Full Circle,HÆLOS,132sZpCaM8ie6byAEcOcRs,1,40,5.063,0.484,0.714,7,-7.234,1,0.0455,0.0602,0.0122,0.135,0.135,90.998,audio_features,1DcBU8x5d7BrCIcgTfIRzk,spotify:track:1DcBU8x5d7BrCIcgTfIRzk,https://api.spotify.com/v1/tracks/1DcBU8x5d7BrCIcgTfIRzk,https://api.spotify.com/v1/audio-analysis/1DcBU8x5d7BrCIcgTfIRzk,303781,4
845,832,3p0bEDqed8yUpTJbGJHxBA,Tenderness,Bulb,53F5SvNgYKGlw18TlSviGg,1,26,7.7177,0.277,0.793,1,-8.621,1,0.0369,0.105,0.701,0.121,0.0433,84.984,audio_features,3p0bEDqed8yUpTJbGJHxBA,spotify:track:3p0bEDqed8yUpTJbGJHxBA,https://api.spotify.com/v1/tracks/3p0bEDqed8yUpTJbGJHxBA,https://api.spotify.com/v1/audio-analysis/3p0bEDqed8yUpTJbGJHxBA,463063,4
846,833,0aGFnCxrBBr3w3eLYyNCZW,The Fall,The Seshen,2rkxM3pdssb12wllaVcYSC,1,4,3.915766666666667,0.543,0.738,2,-7.405,0,0.0312,0.00648,0.315,0.22,0.579,92.012,audio_features,0aGFnCxrBBr3w3eLYyNCZW,spotify:track:0aGFnCxrBBr3w3eLYyNCZW,https://api.spotify.com/v1/tracks/0aGFnCxrBBr3w3eLYyNCZW,https://api.spotify.com/v1/audio-analysis/0aGFnCxrBBr3w3eLYyNCZW,234947,4
